epoch,lr-AdamW,step,test_mse,train_mse,val_mse
,0.001,268,,,
268,,268,,,135803.53125
,0.001,269,,,
269,,269,,,135700.140625
,0.001,270,,,
270,,270,,,135596.53125
,0.001,271,,,
271,,271,,,135492.734375
,0.001,272,,,
272,,272,,,135388.71875
,0.001,273,,,
273,,273,,,135284.53125
,0.001,274,,,
274,,274,,,135180.140625
,0.001,275,,,
275,,275,,,135075.5625
,0.001,276,,,
276,,276,,,134970.78125
,0.001,277,,,
277,,277,,,134865.796875
,0.001,278,,,
278,,278,,,134760.625
,0.001,279,,,
279,,279,,,134655.265625
,0.001,280,,,
280,,280,,,134549.734375
,0.001,281,,,
281,,281,,,134443.96875
,0.001,282,,,
282,,282,,,134338.03125
,0.001,283,,,
283,,283,,,134231.921875
,0.001,284,,,
284,,284,,,134125.609375
,0.001,285,,,
285,,285,,,134019.109375
,0.001,286,,,
286,,286,,,133912.421875
,0.001,287,,,
287,,287,,,133805.546875
,0.001,288,,,
288,,288,,,133698.484375
,0.001,289,,,
289,,289,,,133591.234375
,0.001,290,,,
290,,290,,,133483.796875
,0.001,291,,,
291,,291,,,133376.1875
,0.001,292,,,
292,,292,,,133268.390625
,0.001,293,,,
293,,293,,,133160.4375
,0.001,294,,,
294,,294,,,133052.328125
,0.001,295,,,
295,,295,,,132944.203125
,0.001,296,,,
296,,296,,,132835.921875
,0.001,297,,,
297,,297,,,132727.546875
,0.001,298,,,
298,,298,,,132618.53125
,0.001,299,,,
299,,299,,25789.978515625,
299,,299,,,132497.765625
,0.001,300,,,
300,,300,,,132338.359375
,0.001,301,,,
301,,301,,,132187.96875
,0.001,302,,,
302,,302,,,132003.96875
,0.001,303,,,
303,,303,,,131892.59375
,0.001,304,,,
304,,304,,,131783.046875
,0.001,305,,,
305,,305,,,131672.90625
,0.001,306,,,
306,,306,,,131562.25
,0.001,307,,,
307,,307,,,131451.109375
,0.001,308,,,
308,,308,,,131339.515625
,0.001,309,,,
309,,309,,,131227.484375
,0.001,310,,,
310,,310,,,131115.0625
,0.001,311,,,
311,,311,,,131002.2578125
,0.001,312,,,
312,,312,,,130889.09375
,0.001,313,,,
313,,313,,,130775.6171875
,0.001,314,,,
314,,314,,,130661.796875
,0.001,315,,,
315,,315,,,130547.6953125
,0.001,316,,,
316,,316,,,130433.2890625
,0.001,317,,,
317,,317,,,130318.6328125
,0.001,318,,,
318,,318,,,130203.6953125
,0.001,319,,,
319,,319,,,130088.5234375
,0.001,320,,,
320,,320,,,129973.09375
,0.001,321,,,
321,,321,,,129857.453125
,0.001,322,,,
322,,322,,,129741.5703125
,0.001,323,,,
323,,323,,,129625.484375
,0.001,324,,,
324,,324,,,129509.171875
,0.001,325,,,
325,,325,,,129392.6640625
,0.001,326,,,
326,,326,,,129275.9609375
,0.001,327,,,
327,,327,,,129159.046875
,0.001,328,,,
328,,328,,,129041.9453125
,0.001,329,,,
329,,329,,,128924.6796875
,0.001,330,,,
330,,330,,,128807.2109375
,0.001,331,,,
331,,331,,,128689.5703125
,0.001,332,,,
332,,332,,,128571.734375
,0.001,333,,,
333,,333,,,128453.75
,0.001,334,,,
334,,334,,,128335.5859375
,0.001,335,,,
335,,335,,,128217.2421875
,0.001,336,,,
336,,336,,,128098.7421875
,0.001,337,,,
337,,337,,,127980.0859375
,0.001,338,,,
338,,338,,,127861.2578125
,0.001,339,,,
339,,339,,,127742.2578125
,0.001,340,,,
340,,340,,,127623.09375
,0.001,341,,,
341,,341,,,127503.796875
,0.001,342,,,
342,,342,,,127384.3359375
,0.001,343,,,
343,,343,,,127264.71875
,0.001,344,,,
344,,344,,,127144.9296875
,0.001,345,,,
345,,345,,,127025.0078125
,0.001,346,,,
346,,346,,,126904.9296875
,0.001,347,,,
347,,347,,,126784.6875
,0.001,348,,,
348,,348,,,126664.3046875
,0.001,349,,,
349,,349,,24234.517578125,
349,,349,,,126543.78125
,0.001,350,,,
350,,350,,,126423.09375
,0.001,351,,,
351,,351,,,126302.2734375
,0.001,352,,,
352,,352,,,126181.3046875
,0.001,353,,,
353,,353,,,126060.171875
,0.001,354,,,
354,,354,,,125938.90625
,0.001,355,,,
355,,355,,,125817.484375
,0.001,356,,,
356,,356,,,125695.9140625
,0.001,357,,,
357,,357,,,125574.25
,0.001,358,,,
358,,358,,,125452.390625
,0.001,359,,,
359,,359,,,125330.390625
,0.001,360,,,
360,,360,,,125208.2734375
,0.001,361,,,
361,,361,,,125086.0234375
,0.001,362,,,
362,,362,,,124963.5859375
,0.001,363,,,
363,,363,,,124841.0390625
,0.001,364,,,
364,,364,,,124718.3515625
,0.001,365,,,
365,,365,,,124595.53125
,0.001,366,,,
366,,366,,,124472.5546875
,0.001,367,,,
367,,367,,,124349.453125
,0.001,368,,,
368,,368,,,124226.21875
,0.001,369,,,
369,,369,,,124102.84375
,0.001,370,,,
370,,370,,,123979.3203125
,0.001,371,,,
371,,371,,,123855.6484375
,0.001,372,,,
372,,372,,,123731.890625
,0.001,373,,,
373,,373,,,123607.9453125
,0.001,374,,,
374,,374,,,123483.890625
,0.001,375,,,
375,,375,,,123359.703125
,0.001,376,,,
376,,376,,,123235.375
,0.001,377,,,
377,,377,,,123110.9296875
,0.001,378,,,
378,,378,,,122986.3359375
,0.001,379,,,
379,,379,,,122861.6171875
,0.001,380,,,
380,,380,,,122736.765625
,0.001,381,,,
381,,381,,,122611.765625
,0.001,382,,,
382,,382,,,122486.6484375
,0.001,383,,,
383,,383,,,122361.40625
,0.001,384,,,
384,,384,,,122236.0234375
,0.001,385,,,
385,,385,,,122108.515625
,0.001,386,,,
386,,386,,,121923.484375
,0.001,387,,,
387,,387,,,121754.46875
,0.001,388,,,
388,,388,,,121629.3984375
,0.001,389,,,
389,,389,,,121504.109375
,0.001,390,,,
390,,390,,,121378.546875
,0.001,391,,,
391,,391,,,121252.7109375
,0.001,392,,,
392,,392,,,121126.5859375
,0.001,393,,,
393,,393,,,121000.25
,0.001,394,,,
394,,394,,,120873.6640625
,0.001,395,,,
395,,395,,,120746.875
,0.001,396,,,
396,,396,,,120619.859375
,0.001,397,,,
397,,397,,,120492.6328125
,0.001,398,,,
398,,398,,,120365.234375
,0.001,399,,,
399,,399,,22681.984375,
399,,399,,,120237.6484375
,0.001,400,,,
400,,400,,,120109.8671875
,0.001,401,,,
401,,401,,,119981.9453125
,0.001,402,,,
402,,402,,,119853.828125
,0.001,403,,,
403,,403,,,119725.5625
,0.001,404,,,
404,,404,,,119597.140625
,0.001,405,,,
405,,405,,,119468.578125
,0.001,406,,,
406,,406,,,119339.859375
,0.001,407,,,
407,,407,,,119210.9921875
,0.001,408,,,
408,,408,,,119081.9765625
,0.001,409,,,
409,,409,,,118952.828125
,0.001,410,,,
410,,410,,,118823.5625
,0.001,411,,,
411,,411,,,118694.140625
,0.001,412,,,
412,,412,,,118564.578125
,0.001,413,,,
413,,413,,,118434.9140625
,0.001,414,,,
414,,414,,,118305.109375
,0.001,415,,,
415,,415,,,118175.1796875
,0.001,416,,,
416,,416,,,118045.125
,0.001,417,,,
417,,417,,,117914.9609375
,0.001,418,,,
418,,418,,,117784.65625
,0.001,419,,,
419,,419,,,117654.2578125
,0.001,420,,,
420,,420,,,117523.7265625
,0.001,421,,,
421,,421,,,117393.078125
,0.001,422,,,
422,,422,,,117262.3046875
,0.001,423,,,
423,,423,,,117131.421875
,0.001,424,,,
424,,424,,,117000.4375
,0.001,425,,,
425,,425,,,116869.3046875
,0.001,426,,,
426,,426,,,116738.09375
,0.001,427,,,
427,,427,,,116606.75
,0.001,428,,,
428,,428,,,116475.3203125
,0.001,429,,,
429,,429,,,116343.75
,0.001,430,,,
430,,430,,,116212.0859375
,0.001,431,,,
431,,431,,,116080.3203125
,0.001,432,,,
432,,432,,,115948.4375
,0.001,433,,,
433,,433,,,115816.4375
,0.001,434,,,
434,,434,,,115684.3515625
,0.001,435,,,
435,,435,,,115552.140625
,0.001,436,,,
436,,436,,,115419.8359375
,0.001,437,,,
437,,437,,,115287.40625
,0.001,438,,,
438,,438,,,115154.90625
,0.001,439,,,
439,,439,,,115022.2734375
,0.001,440,,,
440,,440,,,114889.5390625
,0.001,441,,,
441,,441,,,114756.71875
,0.001,442,,,
442,,442,,,114623.78125
,0.001,443,,,
443,,443,,,114490.7421875
,0.001,444,,,
444,,444,,,114357.6015625
,0.001,445,,,
445,,445,,,114224.3515625
,0.001,446,,,
446,,446,,,114091.015625
,0.001,447,,,
447,,447,,,113957.5859375
,0.001,448,,,
448,,448,,,113824.0546875
,0.001,449,,,
449,,449,,21204.59375,
449,,449,,,113690.4140625
,0.001,450,,,
450,,450,,,113556.65625
,0.001,451,,,
451,,451,,,113422.796875
,0.001,452,,,
452,,452,,,113288.875
,0.001,453,,,
453,,453,,,113154.84375
,0.001,454,,,
454,,454,,,113020.7109375
,0.001,455,,,
455,,455,,,112886.484375
,0.001,456,,,
456,,456,,,112752.140625
,0.001,457,,,
457,,457,,,112617.7265625
,0.001,458,,,
458,,458,,,112483.234375
,0.001,459,,,
459,,459,,,112348.6015625
,0.001,460,,,
460,,460,,,112213.890625
,0.001,461,,,
461,,461,,,112079.078125
,0.001,462,,,
462,,462,,,111944.1875
,0.001,463,,,
463,,463,,,111809.203125
,0.001,464,,,
464,,464,,,111674.109375
,0.001,465,,,
465,,465,,,111538.9296875
,0.001,466,,,
466,,466,,,111403.6484375
,0.001,467,,,
467,,467,,,111268.3046875
,0.001,468,,,
468,,468,,,111132.875
,0.001,469,,,
469,,469,,,110997.3125
,0.001,470,,,
470,,470,,,110861.6953125
,0.001,471,,,
471,,471,,,110725.9453125
,0.001,472,,,
472,,472,,,110590.140625
,0.001,473,,,
473,,473,,,110454.25
,0.001,474,,,
474,,474,,,110318.25
,0.001,475,,,
475,,475,,,110182.1640625
,0.001,476,,,
476,,476,,,110045.9921875
,0.001,477,,,
477,,477,,,109909.75
,0.001,478,,,
478,,478,,,109773.3984375
,0.001,479,,,
479,,479,,,109636.9609375
,0.001,480,,,
480,,480,,,109500.453125
,0.001,481,,,
481,,481,,,109363.859375
,0.001,482,,,
482,,482,,,109227.15625
,0.001,483,,,
483,,483,,,109090.390625
,0.001,484,,,
484,,484,,,108953.5390625
,0.001,485,,,
485,,485,,,108816.6015625
,0.001,486,,,
486,,486,,,108679.5703125
,0.001,487,,,
487,,487,,,108542.46875
,0.001,488,,,
488,,488,,,108405.2578125
,0.001,489,,,
489,,489,,,108267.9921875
,0.001,490,,,
490,,490,,,108130.6328125
,0.001,491,,,
491,,491,,,107993.203125
,0.001,492,,,
492,,492,,,107855.6640625
,0.001,493,,,
493,,493,,,107718.0625
,0.001,494,,,
494,,494,,,107580.3828125
,0.001,495,,,
495,,495,,,107442.6171875
,0.001,496,,,
496,,496,,,107304.78125
,0.001,497,,,
497,,497,,,107166.8515625
,0.001,498,,,
498,,498,,,107028.8515625
,0.001,499,,,
499,,499,,19828.212890625,
499,,499,,,106890.765625
,0.001,500,,,
500,,500,,,106752.6171875
,0.001,501,,,
501,,501,,,106614.3828125
,0.001,502,,,
502,,502,,,106476.0859375
,0.001,503,,,
503,,503,,,106337.6953125
,0.001,504,,,
504,,504,,,106199.2109375
,0.001,505,,,
505,,505,,,106060.6796875
,0.001,506,,,
506,,506,,,105922.0546875
,0.001,507,,,
507,,507,,,105783.34375
,0.001,508,,,
508,,508,,,105644.578125
,0.001,509,,,
509,,509,,,105505.75
,0.001,510,,,
510,,510,,,105366.8203125
,0.001,511,,,
511,,511,,,105227.828125
,0.001,512,,,
512,,512,,,105088.765625
,0.001,513,,,
513,,513,,,104949.6171875
,0.001,514,,,
514,,514,,,104810.421875
,0.001,515,,,
515,,515,,,104671.140625
,0.001,516,,,
516,,516,,,104531.78125
,0.001,517,,,
517,,517,,,104392.3515625
,0.001,518,,,
518,,518,,,104252.875
,0.001,519,,,
519,,519,,,104113.2890625
,0.001,520,,,
520,,520,,,103973.6484375
,0.001,521,,,
521,,521,,,103833.9453125
,0.001,522,,,
522,,522,,,103694.1875
,0.001,523,,,
523,,523,,,103554.3515625
,0.001,524,,,
524,,524,,,103414.421875
,0.001,525,,,
525,,525,,,103274.4375
,0.001,526,,,
526,,526,,,103134.4140625
,0.001,527,,,
527,,527,,,102994.2734375
,0.001,528,,,
528,,528,,,102854.109375
,0.001,529,,,
529,,529,,,102713.859375
,0.001,530,,,
530,,530,,,102573.5390625
,0.001,531,,,
531,,531,,,102433.15625
,0.001,532,,,
532,,532,,,102292.71875
,0.001,533,,,
533,,533,,,102152.21875
,0.001,534,,,
534,,534,,,102011.6328125
,0.001,535,,,
535,,535,,,101870.9921875
,0.001,536,,,
536,,536,,,101730.296875
,0.001,537,,,
537,,537,,,101589.53125
,0.001,538,,,
538,,538,,,101448.7109375
,0.001,539,,,
539,,539,,,101307.8125
,0.001,540,,,
540,,540,,,101166.875
,0.001,541,,,
541,,541,,,101025.859375
,0.001,542,,,
542,,542,,,100884.78125
,0.001,543,,,
543,,543,,,100743.6484375
,0.001,544,,,
544,,544,,,100602.4609375
,0.001,545,,,
545,,545,,,100461.2109375
,0.001,546,,,
546,,546,,,100319.8984375
,0.001,547,,,
547,,547,,,100178.5234375
,0.001,548,,,
548,,548,,,100037.09375
,0.001,549,,,
549,,549,,18596.96875,
549,,549,,,99895.5859375
,0.001,550,,,
550,,550,,,99754.0546875
,0.001,551,,,
551,,551,,,99612.453125
,0.001,552,,,
552,,552,,,99470.7890625
,0.001,553,,,
553,,553,,,99329.078125
,0.001,554,,,
554,,554,,,99187.3046875
,0.001,555,,,
555,,555,,,99045.4765625
,0.001,556,,,
556,,556,,,98903.5859375
,0.001,557,,,
557,,557,,,98761.6484375
,0.001,558,,,
558,,558,,,98619.6484375
,0.001,559,,,
559,,559,,,98477.6171875
,0.001,560,,,
560,,560,,,98335.5078125
,0.001,561,,,
561,,561,,,98193.3671875
,0.001,562,,,
562,,562,,,98051.1484375
,0.001,563,,,
563,,563,,,97908.90625
,0.001,564,,,
564,,564,,,97766.5859375
,0.001,565,,,
565,,565,,,97624.21875
,0.001,566,,,
566,,566,,,97481.8046875
,0.001,567,,,
567,,567,,,97339.3359375
,0.001,568,,,
568,,568,,,97196.8203125
,0.001,569,,,
569,,569,,,97054.2578125
,0.001,570,,,
570,,570,,,96911.6484375
,0.001,571,,,
571,,571,,,96768.984375
,0.001,572,,,
572,,572,,,96626.2578125
,0.001,573,,,
573,,573,,,96483.5
,0.001,574,,,
574,,574,,,96340.7109375
,0.001,575,,,
575,,575,,,96197.8359375
,0.001,576,,,
576,,576,,,96054.9296875
,0.001,577,,,
577,,577,,,95911.9765625
,0.001,578,,,
578,,578,,,95768.984375
,0.001,579,,,
579,,579,,,95625.9453125
,0.001,580,,,
580,,580,,,95482.875
,0.001,581,,,
581,,581,,,95339.7265625
,0.001,582,,,
582,,582,,,95196.5546875
,0.001,583,,,
583,,583,,,95053.3359375
,0.001,584,,,
584,,584,,,94910.0859375
,0.001,585,,,
585,,585,,,94766.765625
,0.001,586,,,
586,,586,,,94623.40625
,0.001,587,,,
587,,587,,,94480.0234375
,0.001,588,,,
588,,588,,,94336.578125
,0.001,589,,,
589,,589,,,94193.09375
,0.001,590,,,
590,,590,,,94049.5859375
,0.001,591,,,
591,,591,,,93906.03125
,0.001,592,,,
592,,592,,,93762.421875
,0.001,593,,,
593,,593,,,93618.7890625
